464433,"Francisco, Juan","MIL","v phi",1,"F,4-3","H",1,4,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
425796,"Francoeur, Jeff","KAN","v hou",1,"F,7-2","H",1,4,1,1,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,"RF",,6/8/2013
435623,"Frandsen, Kevin","PHI","@ mil",1,"F,3-4","H",1,4,2,1,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,"1B",,6/8/2013
545338,"Franklin, Nick","SEA","v nyy",1,"F,1-3","H",1,4,1,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
453943,"Frazier, Todd","CIN","v stl",1,"F,4-2","H",1,2,,,,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
518692,"Freeman, Freddie","ATL","@ lad",1,"F,2-1","H",1,4,1,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
501896,"Freese, David","STL","@ cin",1,"F,2-4","H",1,4,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
474384,"Freiman, Nate","OAK","@ chw",1,"F,1-4","H",1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
453539,"Fuld, Sam","TAM","v bal",1,"F,8-0","H",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
541645,"Garcia, Avisail","DET","v cle",1,"F,6-4","H",1,4,1,1,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,"CF",,6/8/2013
544725,"Garcia, Leury","TEX","@ tor",1,"F,3-4","H",1,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
458731,"Gardner, Brett","NYY","@ sea",1,"F,3-1","H",1,5,3,2,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
502226,"Gentry, Craig","TEX","@ tor",1,"F,3-4","H",1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
502671,"Goldschmidt, Paul","ARI","v sfo",1,"F,5-10","H",1,4,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
430404,"Gomes, Jonny","BOS","v laa",2,"F,7-2","H",1,5,2,1,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
543228,"Gomes, Yan","CLE","@ det",1,"F,4-6","H",1,3,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,6/8/2013
